Original Question,Rephrased Question,Answer A,Answer B,Answer C,Correct Choice
"In examining and evaluating a welded joint, a mechanic should be familiar with","In examining and evaluating a welded joint, a mechanic should be familiar with","likely ambient exposure conditions and intended use of the part, along with type of weld and original part material composition.","the welding technique, filler material, and temperature range used.","the parts, proportions, and formation of a weld.",A
(Refer to Figure 45.) What type weld is shown at A?,(Refer to Figure 45.) What type weld is shown at A?,Fillet.,Butt.,Lap.,B
(Refer to Figure 45.) What type weld is shown at B?,(Refer to Figure 45.) What type weld is shown at B?,Butt.,Double butt.,Fillet.,B
(Refer to Figure 45.) What type weld is shown at G?,(Refer to Figure 45.) What type weld is shown at G?,Lap.,Butt.,Joint.,A
"On a fillet weld, the penetration requirement includes what percentage(s) of the base metal thickness?","On a fillet weld, the penetration requirement includes what percentage(s) of the base metal thickness?",100 percent.,25 to 50 percent.,60 to 80 percent.,B
Which tool can be used to measure the alignment of a rotor shaft or the plane of rotation of a disc?,Which tool can be used to measure the alignment of a rotor shaft or the plane of rotation of a disc?,Dial indicator.,Shaft gauge.,Protractor.,A
(Refer to Figure 46.) The measurement reading on the illustrated micrometer is,(Refer to Figure 46.) The measurement reading on the illustrated micrometer is,0.2851,0.2911,0.2901,A
Identify the correct statement.,Identify the correct statement.,An outside micrometer is limited to measuring diameters.,Tools used on certificated aircraft must be an approved type.,Dividers do not provide a reading when used as a measuring device.,C
(Refer to Figure 47.) What is the measurement reading on the vernier caliper scale?,(Refer to Figure 47.) What is the measurement reading on the vernier caliper scale?,1.411 inches.,1.436 inches.,1.700 inches.,B
Which tool is used to measure the clearance between a surface plate and a relatively narrow surface being checked for flatness?,Which tool is used to measure the clearance between a surface plate and a relatively narrow surface being checked for flatness?,Depth gauge.,Thickness gauge.,Dial indicator.,B
Which number represents the vernier scale graduation of a micrometer?,Which number represents the vernier scale graduation of a micrometer?,.00001,.001,.0001,C
Which tool is used to find the center of a shaft or other cylindrical work?,Which tool is used to find the center of a shaft or other cylindrical work?,Combination set.,Dial indicator.,Micrometer caliper.,A
(Refer to Figure 48.) What does the micrometer read?,(Refer to Figure 48.) What does the micrometer read?,.2974,.3004,.3108,B
"If it is necessary to accurately measure the diameter of a hole approximately 1/4 inch in diameter, the mechanic should use a","When it is necessary to accurately measure the diameter of a hole approximately 1/4 inch in diameter, the mechanic should use a",telescoping gauge and determine the size of the hole by taking a micrometer reading of the adjustable end of the telescoping gauge.,0- to 1-inch inside micrometer and read the measurement directly from the micrometer.,small-hole gauge and determine the size of the hole by taking a micrometer reading of the ball end of the gauge.,C
(Refer to Figure 49.) The measurement reading on the micrometer is,(Refer to Figure 49.) The measurement reading on the micrometer is,.2758,.2702,.2792,C
What tool is generally used to set a divider to an exact dimension?,What tool is generally used to set a divider to an exact dimension?,Machinist scale.,Surface gauge.,Dial indicator.,A
What tool is generally used to calibrate a micrometer or check its accuracy?,What tool is generally used to calibrate a micrometer or check its accuracy?,Gauge block.,Dial indicator.,Machinist scale.,A
What precision measuring tool is used for measuring crankpin and main bearing journals for out-of-round wear?,What precision measuring tool is used for measuring crankpin and main bearing journals for out-of-round wear?,Dial gauge.,Micrometer caliper.,Depth gauge.,B
The side clearances of piston rings are measured with a,The side clearances of piston rings are measured with a,micrometer caliper gauge.,thickness gauge.,dial gauge.,B
How can the dimensional inspection of a bearing in a rocker arm be accomplished?,How can the dimensional inspection of a bearing in a rocker arm be accomplished?,Depth gauge and micrometer.,Thickness gauge and push-fit arbor.,Telescopic gauge and micrometer.,C
"The twist of a connecting rod is checked by installing push-fit arbors in both ends, supported by parallel steel bars on a surface plate. Measurements are taken between the arbor and the parallel bar with a","The twist of a connecting rod is checked by installing push-fit arbors in both ends, supported by parallel steel bars on a surface plate. Measurements are taken between the arbor and the parallel bar with a",dial gauge.,height gauge.,thickness gauge.,C
What may be used to check the stem on a poppet-type valve for stretch?,What may be used to check the stem on a poppet-type valve for stretch?,Dial indicator.,Micrometer.,Telescoping gauge.,B
Which tool can be used to determine piston pin out-of-round wear?,Which tool can be used to determine piston pin out-of-round wear?,Telescopic gauge.,Micrometer caliper.,Dial indicator.,B
"During starting of a turbine powerplant using a compressed air starter, a hung start occurred. Select the proper procedure.","During starting of a turbine powerplant using a compressed air starter, a hung start occurred. Select the proper procedure.",Shut off the fuel.,Re-engage the starter.,Shut the engine down.,C
A hung start in a jet engine is often caused by,A hung start in a jet engine is often caused by,malfunctions in the ignition system.,the starter cutting off too soon.,an excessively rich fuel/air mixture.,B
Which statement below reflects a typical requirement when towing some aircraft?,Which statement below reflects a typical requirement when towing some aircraft?,Discharge all hydraulic pressure to prevent accidental operation of the nosewheel steering mechanism.,Tailwheel aircraft must be towed backwards.,"If the aircraft has a steerable nosewheel, the torque-link lock should be set to full swivel.",C
Which statement is true regarding tiedown of small aircraft?,Which statement is true regarding tiedown of small aircraft?,The aircraft should be headed downwind in order to eliminate or minimize wing lift.,Leave the nosewheel or tailwheel unlocked.,Nylon or dacron rope is preferred to manila rope.,C
"When approaching the front of an idling jet engine, the hazard area extends forward of the engine approximately","When approaching the front of an idling jet engine, the hazard area extends forward of the engine approximately",10 feet.,15 feet.,25 feet.,C
Which of the following is the most satisfactory extinguishing agent for use on a carburetor or intake fire?,Which of the following is the most satisfactory extinguishing agent for use on a carburetor or intake fire?,Dry chemical.,"A fine, water mist.",Carbon dioxide.,C
(Refer to Figure 50.) Identify the signal to engage rotor on a rotorcraft.,(Refer to Figure 50.) Identify the signal to engage rotor on a rotorcraft.,1,3,2,B
"If a radial engine has been shut down for more than 30 minutes, the propeller should be rotated through at least two revolutions to","When a radial engine has been shut down for more than 30 minutes, the propeller should be rotated through at least two revolutions to",check for hydraulic lock.,check for leaks.,prime the engine.,A
The priming of a fuel injected horizontally opposed engine is accomplished by placing the fuel control lever in the,The priming of a fuel injected horizontally opposed engine is accomplished by placing the fuel control lever in the,IDLE-CUTOFF position.,AUTO-RICH position.,FULL-RICH position.,C
The most important condition to be monitored during start after fuel flow begins in a turbine engine is the,The most important condition to be monitored during start after fuel flow begins in a turbine engine is the,"EGT, TIT, or ITT.",RPM.,oil pressure.,A
Which of the following conditions has the most potential for causing engine damage when starting or attempting to start a turbine engine?,Which of the following conditions has the most potential for causing engine damage when starting or attempting to start a turbine engine?,Hung start.,Cold start.,Hot start.,C
"How is a flooded engine, equipped with a float-type carburetor, cleared of excessive fuel?","How is a flooded engine, equipped with a float-type carburetor, cleared of excessive fuel?","Crank the engine with the starter or by hand, with the mixture control in cutoff, ignition switch off, and the throttle fully open, until the fuel charge has been cleared.",Turn off the fuel and the ignition. Discontinue the starting attempt until the excess fuel has cleared.,"Crank the engine with the starter or by hand, with the mixture control in cutoff, ignition switch on, and the throttle fully open, until the excess fuel has cleared or until the engine starts.",A
(Refer to Figure 51.) Which marshalling signal should be given if a taxiing aircraft is in imminent danger of striking an object?,(Refer to Figure 51.) Which marshalling signal should be given if a taxiing aircraft is in imminent danger of striking an object?,1 or 3.,2.,3.,C
"Generally, when an induction fire occurs during starting of a reciprocating engine, the first course of action should be to","Generally, when an induction fire occurs during starting of a reciprocating engine, the first course of action should be to",discharge carbon dioxide from a fire extinguisher into the air intake of the engine.,continue cranking and start the engine if possible.,close the throttle.,B
"When starting and ground operating an aircraft's engine, the aircraft should be positioned to head into the wind primarily","When starting and ground operating an aircraft's engine, the aircraft should be positioned to head into the wind primarily",to aid in achieving and maintaining the proper air flow into the engine induction system.,for engine cooling purposes.,to help cancel out engine torque effect.,B
"When approaching the rear of an idling turbojet or turbofan engine, the hazard area extends aft of the engine approximately","When approaching the rear of an idling turbojet or turbofan engine, the hazard area extends aft of the engine approximately",200 feet.,100 feet.,50 feet.,B
"If a hot start occurs during starting of a turbine powerplant, what is the likely cause?","When a hot start occurs during starting of a turbine powerplant, what is the likely cause?",The starting unit overheated.,The ambient air temperature was too high (over 100__degrees__ F).,The fuel/air mixture was excessively rich.,C
"What effect, if any, will aviation gasoline mixed with jet fuel have on a turbine engine?","What effect, if any, will aviation gasoline mixed with jet fuel have on a turbine engine?",No appreciable effect.,The tetraethyl lead in the gasoline forms deposits on the turbine blades.,The tetraethyl lead in the gasoline forms deposits on the compressor blades.,B
"(1) Jet fuel is of higher viscosity than aviation gasoline and therefore holds contaminants better.|(2) Viscosity has no relation to contamination of fuel.|Regarding the above statements,","(1) Jet fuel is of higher viscosity than aviation gasoline and therefore holds contaminants better.|(2) Viscosity has no relation to contamination of fuel.|Regarding the above statements,",only 1 is true.,both 1 and 2 are true.,neither 1 nor 2 is true.,A
When towing a large aircraft,When towing a large aircraft,a person should be in the cockpit to watch for obstructions.,"persons should be stationed at the nose, each wingtip, and the empennage at all times.",a person should be in the cockpit to operate the brakes.,C
Weathervaning tendency is greatest when taxiing,Weathervaning tendency is greatest when taxiing,both nosewheel and tailwheel-type airplanes in a quartering tailwind.,a tailwheel-type airplane in a direct crosswind.,a nosewheel-type airplane in a quartering headwind.,B
"When taxiing an airplane with a quartering tailwind, the elevators and","When taxiing an airplane with a quartering tailwind, the elevators and",upwind aileron should be held in the up position.,upwind aileron should be held in the down position.,both ailerons should be kept in the neutral position.,B
"When taxiing (or towing) an aircraft, a flashing red light from the control tower means","When taxiing (or towing) an aircraft, a flashing red light from the control tower means",stop and wait for a green light.,move clear of the runway/taxiway immediately.,return to starting point.,B
A person should approach or leave a helicopter in the pilot's field of vision whenever the engine is running in order to avoid,A person should approach or leave a helicopter in the pilot's field of vision whenever the engine is running in order to avoid,the tail rotor.,the main rotor.,blowing dust or debris caused by rotor downwash.,A
"When taxiing (or towing) an aircraft, a flashing white light from the control tower means","When taxiing (or towing) an aircraft, a flashing white light from the control tower means",move clear of the runway/taxiway immediately.,OK to proceed but use extreme caution.,return to starting point.,C
"When taxiing (or towing) an aircraft, an alternating red and green light from the control tower means","When taxiing (or towing) an aircraft, an alternating red and green light from the control tower means",move clear of the runway/taxiway immediately.,OK to proceed but use extreme caution.,return to starting point.,B
"When stopping a nosewheel-type airplane after taxiing (or towing), the nosewheel should be left","When stopping a nosewheel-type airplane after taxiing (or towing), the nosewheel should be left",unlocked and pointed straight ahead.,turned at a small angle towards uphill if the parking area is not perfectly flat.,pointed straight ahead.,C
"When first starting to move an aircraft while taxiing, it is important to","When first starting to move an aircraft while taxiing, it is important to",test the brakes.,closely monitor the instruments.,notify the control tower.,A
The color of 100LL fuel is,The color of 100LL fuel is,blue.,colorless or straw.,red.,A
"How are aviation fuels, which possess greater antiknock qualities than 100 octane, classified?","How are aviation fuels, which possess greater antiknock qualities than 100 octane, classified?",According to the milliliters of lead.,By reference to normal heptane.,By performance numbers.,C
Why is ethylene dibromide added to aviation gasoline?,Why is ethylene dibromide added to aviation gasoline?,To remove zinc silicate deposits from the spark plugs.,To scavenge lead oxide from the cylinder combustion chambers.,To increase the antiknock rating of the fuel.,B
Both gasoline and kerosene have certain advantages for use as turbine fuel. Which statement is true in reference to the advantages of each?,Both gasoline and kerosene have certain advantages for use as turbine fuel. Which statement is true in reference to the advantages of each?,Kerosene has a higher heat energy/value per unit weight than gasoline.,Gasoline has a higher heat energy/value per unit volume than kerosene.,Kerosene has a higher heat energy/value per unit volume than gasoline.,C
What must accompany fuel vaporization?,What must accompany fuel vaporization?,An absorption of heat.,A decrease in vapor pressure.,A reduction in volume.,A
Characteristics of detonation are,Characteristics of detonation are,"cylinder pressure remains the same, excessive cylinder head temperature, and a decrease in engine power.","rapid rise in cylinder pressure, excessive cylinder head temperature, and a decrease in engine power.","rapid rise in cylinder pressure, cylinder head temperature normal, and a decrease in engine power.",B
A fuel that vaporizes too readily may cause,A fuel that vaporizes too readily may cause,hard starting.,detonation.,vapor lock.,C
Jet fuel number identifiers are,Jet fuel number identifiers are,performance numbers to designate the volatility of the fuel.,performance numbers and are relative to the fuel's performance in the aircraft engine.,type numbers and have no relation to the fuel's performance in the aircraft engine.,C
The main differences between grades 100 and 100LL fuel are,The main differences between grades 100 and 100LL fuel are,volatility and lead content.,"volatility, lead content, and color.",lead content and color.,C
Characteristics of aviation gasoline are,Characteristics of aviation gasoline are,"high heat value, high volatility.","high heat value, low volatility.","low heat value, low volatility.",A
Tetraethyl lead is added to aviation gasoline to,Tetraethyl lead is added to aviation gasoline to,retard the formation of corrosives.,improve the gasoline's performance in the engine.,dissolve the moisture in the gasoline.,B
A fuel that does not vaporize readily enough can cause,A fuel that does not vaporize readily enough can cause,vapor lock.,detonation.,hard starting.,C
A primary reason why ordinary or otherwise nonapproved cleaning compounds should not be used when washing aircraft is because their use can result in,A primary reason why ordinary or otherwise nonapproved cleaning compounds should not be used when washing aircraft is because their use can result in,hydrogen embrittlement in metal structures.,hydrogen embrittlement in nonmetallic materials.,a general inability to remove compound residues.,A
How may magnesium engine parts be cleaned?,How may magnesium engine parts be cleaned?,Soak in a 20 percent caustic soda solution.,Spray with methyl ethyl ketone (MEK).,"Wash with a commercial solvent, decarbonize, and scrape or grit blast.",C
"When an anodized surface coating is damaged in service, it can be partially restored by","When an anodized surface coating is damaged in service, it can be partially restored by",applying a thin coat of zinc chromate primer.,chemical surface treatment.,use of a suitable mild cleaner.,B
For which of the following reasons would a water break test be conducted?,For which of the following reasons would a water break test be conducted?,To make certain that a newly alodized aluminum surface is sufficiently coated.,To make certain that a bare metal surface is thoroughly clean.,To make certain that an anodizing coating has been sufficiently removed before an electrical bonding connection can be made.,B
Select the solvent recommended for wipedown of cleaned surfaces just before painting.,Select the solvent recommended for wipedown of cleaned surfaces just before painting.,Aliphatic naptha.,Dry-cleaning solvent.,Aromatic naptha.,A
Nickel-cadmium battery cases and drain surfaces which have been affected by electrolyte should be neutralized with a solution of,Nickel-cadmium battery cases and drain surfaces which have been affected by electrolyte should be neutralized with a solution of,boric acid.,sodium bicarbonate.,potassium hydroxide.,A
Which of the following are acceptable to use when utilizing chemical cleaning agents on aircraft?,Which of the following are acceptable to use when utilizing chemical cleaning agents on aircraft?,Cotton fiber wiping cloths when using a flammable agent and atomizing spray equipment.,Microfiber wiping cloths when using a flammable agent and atomizing spray equipment.,Synthetic fiber wiping cloths when using a flammable agent.,A
Select the solvent used to clean acrylics and rubber.,Select the solvent used to clean acrylics and rubber.,Aliphatic naphtha.,Methyl ethyl ketone.,Aromatic naphtha.,A
Fayed surfaces cause concern in chemical cleaning because of the danger of,Fayed surfaces cause concern in chemical cleaning because of the danger of,forming passive oxides.,entrapping corrosive materials.,corrosion by imbedded iron oxide.,B
Caustic cleaning products used on aluminum structures have the effect of producing,Caustic cleaning products used on aluminum structures have the effect of producing,passive oxidation.,improved corrosion resistance.,corrosion.,C
Fretting corrosion is most likely to occur,Fretting corrosion is most likely to occur,when two surfaces fit tightly together but can move relative to one another.,only when two dissimilar metals are in contact.,when two surfaces fit loosely together and can move relative to one another.,A
The rust or corrosion that occurs with most metals is the result of,The rust or corrosion that occurs with most metals is the result of,a tendency for them to return to their natural state.,"blocking the flow of electrons in homogenous metals, or between dissimilar metals.",electron flow in or between metals from cathodic to anodic areas.,A
Which of the following are the desired effects of using Alodine(r) (also known as Bonderite(r)) on aluminum alloy?,Which of the following are the desired effects of using Alodine(r) (also known as Bonderite(r)) on aluminum alloy?,A smooth painting surface and increased corrosion resistance.,Relieved surface stresses.,A slightly rough surface and increased corrosion resistance.,C
Which of the listed conditions is NOT one of the requirements for corrosion to occur?,Which of the listed conditions is NOT one of the requirements for corrosion to occur?,The presence of an electrolyte.,Electrical contact between an anodic area and a cathodic area.,The presence of a passive oxide film.,C
The lifting or flaking of the metal at the surface due to delamination of grain boundaries caused by the pressure of corrosion residual product buildup is called,The lifting or flaking of the metal at the surface due to delamination of grain boundaries caused by the pressure of corrosion residual product buildup is called,brinelling.,granulation.,exfoliation.,C
A nonelectrolytic chemical treatment for aluminum alloys to increase corrosion resistance and paint-bonding qualities is called,A nonelectrolytic chemical treatment for aluminum alloys to increase corrosion resistance and paint-bonding qualities is called,anodizing.,alodizing.,dichromating.,B
Which of the following are acceptable to use in cleaning anodized surfaces?,Which of the following are acceptable to use in cleaning anodized surfaces?,"Steel wool, aluminum wool, and fiber bristle brushes.",Brass wire brushes and stainless steel wire brushes.,Aluminum wool and fiber bristle brushes.,C
Intergranular corrosion in aluminum alloy parts,Intergranular corrosion in aluminum alloy parts,"may be detected by surface pitting, and white, powdery deposit formed on the surface of the metal.",commonly appears as threadlike filaments of corrosion products under a dense film of paint.,cannot always be detected by surface indications.,C
Which of the following may not be detectable even by careful visual inspection of the surface of aluminum alloy parts or structures?,Which of the following may not be detectable even by careful visual inspection of the surface of aluminum alloy parts or structures?,Filiform corrosion.,Intergranular corrosion.,Uniform etch corrosion.,B
What may be used to remove corrosion from highly stressed steel surfaces?,What may be used to remove corrosion from highly stressed steel surfaces?,Steel wire brushes.,Fine-grit aluminum oxide.,Medium-grit carborundum paper.,B
A primary cause of intergranular corrosion is,A primary cause of intergranular corrosion is,improper heat treatment.,dissimilar metal contact.,improper application of primer.,A
Corrosion should be removed from magnesium parts with a,Corrosion should be removed from magnesium parts with a,"stiff, nonmetallic brush.",silicon carbide brush.,carborundum abrasive.,A
Why is it important not to rotate the crankshaft after the corrosion preventive mixture has been put into the cylinders on engines prepared for storage?,Why is it important not to rotate the crankshaft after the corrosion preventive mixture has been put into the cylinders on engines prepared for storage?,Fuel may be drawn into one or more cylinders and dilute or wash off the corrosion preventive mixture.,The seal of corrosion preventive mixture will be broken.,Engine damage can occur from hydraulic lock.,B
Which of the following is an acceptable first step procedure to help prevent scratching when cleaning a transparent plastic surface?,Which of the following is an acceptable first step procedure to help prevent scratching when cleaning a transparent plastic surface?,"Gently wipe the surface with a clean, dry, soft cloth.",Flush the surface with clean water.,"Gently wipe the surface with a clean, soft cloth moistened with de-mineralized or distilled water.",B
What should be done to prevent rapid deterioration when oil or grease come in contact with a tire?,What should be done to prevent rapid deterioration when oil or grease come in contact with a tire?,"Wipe the tire thoroughly with a dry cloth, and then rinse with clean water.",Wipe the tire with a dry cloth followed by a washdown and rinse with soap and water.,Wipe the tire with a cloth dampened with aromatic naphtha and then wipe dry with a clean cloth.,B
Galvanic corrosion is likely to be most rapid and severe when,Galvanic corrosion is likely to be most rapid and severe when,the surface area of the cathodic metal is smaller than surface area of the anodic metal.,the surface areas of the anodic and cathodic metals are approximately the same.,the surface area of the anodic metal is smaller than the surface area of the cathodic metal.,C
Corrosion caused by galvanic action is the result of,Corrosion caused by galvanic action is the result of,excessive anodization.,contact between two unlike metals.,excessive etching.,B
Which of these materials is the most anodic?,Which of these materials is the most anodic?,Cadmium.,7075-T6 aluminum alloy.,Magnesium.,C
The interior surface of sealed structural steel tubing would be best protected against corrosion by which of the following?,The interior surface of sealed structural steel tubing would be best protected against corrosion by which of the following?,Charging the tubing with dry nitrogen prior to sealing.,Evacuating moisture from the tubing before sealing.,A coating of linseed oil.,C
Which of these materials is the most cathodic?,Which of these materials is the most cathodic?,Zinc.,2024 aluminum alloy.,Stainless steel.,C
"Of the following, when and/or where is galvanic corrosion most likely to occur?","Of the following, when and/or where is galvanic corrosion most likely to occur?","When an electrolyte (water) covers the surface of an aluminum skin, seeps into the cracks between lap joints, and oxygen is excluded from the area.",At the interface of a steel fastener and aluminum alloy inspection plate in the presence of an electrolyte.,"In an area of unprotected metal exposed to an atmosphere containing battery fumes, exhaust gases, or industrial contaminants.",B
One way of obtaining increased resistance to stress corrosion cracking is by,One way of obtaining increased resistance to stress corrosion cracking is by,relieving compressive stresses (via heat treatment) on the metal surface.,creating compressive stresses (via shot peening) on the metal surface.,producing nonuniform deformation while cold working during the manufacturing process.,B
"(1) In the corrosion process, it is the cathodic area or dissimilar cathodic material that corrodes.|(2) In the Galvanic or Electro-Chemical Series for metals, the most anodic metals are those that will give up electrons most easily.|Regarding the above statements,","(1) In the corrosion process, it is the cathodic area or dissimilar cathodic material that corrodes.|(2) In the Galvanic or Electro-Chemical Series for metals, the most anodic metals are those that will give up electrons most easily.|Regarding the above statements,",only 1 is true.,only 2 is true.,both 1 and 2 are true.,B
Spilled mercury on aluminum,Spilled mercury on aluminum,greatly increases susceptibility to hydrogen embrittlement.,may cause impaired corrosion resistance if left in prolonged contact.,causes rapid and severe corrosion that is very difficult to control.,C
"What power of 10 is equal to 1,000,000,000?","What power of 10 is equal to 1,000,000,000?",10 to the sixth power.,10 to the tenth power.,10 to the ninth power.,C
"Find the square root of 1,746.","Find the square root of 1,746.",41.7852,41.7752,40.7742,A
(Refer to Figure 52.) Solve the equation.,(Refer to Figure 52.) Solve the equation.,115,4.472,5,C
Find the square root of 3722.1835.,Find the square root of 3722.1835.,61.00971,61.00,61.0097,C
Which of the following is the square root of (-1776)/(-2) - 632?,Which of the following is the square root of (-1776)/(-2) - 632?,128,256,16,C
(Refer to Figure 69.) Solve the equation.,(Refer to Figure 69.) Solve the equation.,12,60,76,A
64 cubed equals,64 cubed equals,4,192,"262,144",C
Find the value of 10 raised to the negative sixth power.,Find the value of 10 raised to the negative sixth power.,0.000001,0.000010,0.0001,A
What is the square root of 4 raised to the fifth power?,What is the square root of 4 raised to the fifth power?,32,64,20,A
The number 3.47 x 10 to the negative fourth power is equal to,The number 3.47 x 10 to the negative fourth power is equal to,.00347,"34,700",.000347,C
"Which alternative answer is equal to 16,300?","Which alternative answer is equal to 16,300?",1.63 x 10 to the fourth power.,1.63 x 10 to the negative third power.,163 x 10 to the negative second power.,A
Find the square root of 124.9924.,Find the square root of 124.9924.,111.8 x 10 to the third power.,.1118 x 10 to the negative second power.,"1,118 x 10 to the negative second power.",C
What is the square root of 16 raised to the fourth power?,What is the square root of 16 raised to the fourth power?,"1,024","4,096",256,C
(Refer to Figure 53.) Solve the equation.,(Refer to Figure 53.) Solve the equation.,.0297.,.1680.,.0419.,C
The result of 7 raised to the third power plus the square root of 39 is equal to,The result of 7 raised to the third power plus the square root of 39 is equal to,349.24,.34924,343.24,A
"Find the square root of 1,824.","Find the square root of 1,824.",42.708 x 10 to the negative second power.,.42708.,.42708 x 10 to the second power.,C
(Refer to Figure 65.) Which of the figures is using scientific notation?,(Refer to Figure 65.) Which of the figures is using scientific notation?,1.,2.,both 1 and 2.,A
(Refer to Figure 70.) Which alternative answer is equal to 5.59?,(Refer to Figure 70.) Which alternative answer is equal to 5.59?,1.,2.,3.,A
The total piston displacement in a reciprocating engine is,The total piston displacement in a reciprocating engine is,the volume displaced by only one piston during one-half revolution of the crankshaft.,the volume displaced by all the pistons during one revolution of the crankshaft.,the volume displaced by all the pistons during two revolutions of the crankshaft.,B
What is the surface area of a cube where a side (edge) measures 7.25 inches?,What is the surface area of a cube where a side (edge) measures 7.25 inches?,381.078 cubic inches.,315.375 square inches.,52.5625 square inches.,B
(Refer to Figure 54.) Compute the area of the trapezoid.,(Refer to Figure 54.) Compute the area of the trapezoid.,52.5 square feet.,60 square feet.,76.5 square feet.,A
(Refer to Figure 71.) What is the volume of a sphere with a radius of 4.5 inches?,(Refer to Figure 71.) What is the volume of a sphere with a radius of 4.5 inches?,47.71 cubic inches.,381.7 square inches.,381.7 cubic inches.,C
What size sheet of metal is required to fabricate a cylinder 20 inches long and 8 inches in diameter?|(Note: C = pi x D),What size sheet of metal is required to fabricate a cylinder 20 inches long and 8 inches in diameter?|(Note: C = pi x D),20 inches x 25-5/32 inches.,20 inches x 24-9/64 inches.,20 inches x 25-9/64 inches.,C
(Refer to Figure 55.) Find the area of the triangle shown.,(Refer to Figure 55.) Find the area of the triangle shown.,12 square inches.,6 square inches.,15 square inches.,B
What force is exerted on the piston in a hydraulic cylinder if the area of the piston is 1.2 square inches and the fluid pressure is 850 PSI?,What force is exerted on the piston in a hydraulic cylinder if the area of the piston is 1.2 square inches and the fluid pressure is 850 PSI?,"1,020 pounds.",960 pounds.,850 pounds.,A
"A rectangular-shaped fuel tank measures 60 inches in length, 30 inches in width, and 12 inches in depth. How many cubic feet are within the tank?","A rectangular-shaped fuel tank measures 60 inches in length, 30 inches in width, and 12 inches in depth. How many cubic feet are within the tank?",12.5,15.0,21.0,A
Select the container size that will be equal in volume to 60 gallons of fuel. (7.5 gal = 1 cu ft),Select the container size that will be equal in volume to 60 gallons of fuel. (7.5 gal = 1 cu ft),7.5 cubic feet.,8.0 cubic feet.,8.5 cubic feet.,B
(Refer to Figure 56.) Compute the area of the trapezoid.,(Refer to Figure 56.) Compute the area of the trapezoid.,24 square feet.,48 square feet.,10 square feet.,C
"(Refer to Figure 57.) Determine the area of the triangle formed by points A, B, and C. A to B = 7.5 inches|A to D = 16.8 inches","(Refer to Figure 57.) Determine the area of the triangle formed by points A, B, and C. A to B = 7.5 inches|A to D = 16.8 inches",42 square inches.,63 square inches.,126 square inches.,B
What is the piston displacement of a master cylinder with a 1.5-inch diameter bore and a piston stroke of 4 inches?,What is the piston displacement of a master cylinder with a 1.5-inch diameter bore and a piston stroke of 4 inches?,9.4247 cubic inches.,7.0686 cubic inches.,6.1541 cubic inches.,B
"How many gallons of fuel will be contained in a rectangular-shaped tank which measures 2 feet in width, 3 feet in length, and 1 foot 8 inches in depth? (7.5 gal = 1 cu ft)","How many gallons of fuel will be contained in a rectangular-shaped tank which measures 2 feet in width, 3 feet in length, and 1 foot 8 inches in depth? (7.5 gal = 1 cu ft)",66.6,75,45,B
"A rectangular shaped fuel tank measures 27-1/2 inches in length, 3/4 foot in width, and 8-1/4 inches in depth. How many gallons will the tank contain?|(231 cu in = 1 gal)","A rectangular shaped fuel tank measures 27-1/2 inches in length, 3/4 foot in width, and 8-1/4 inches in depth. How many gallons will the tank contain?|(231 cu in = 1 gal)",7.366,8.83,170.156,B
"A four-cylinder aircraft engine has a cylinder bore of 3.78 inches and is 8.5 inches deep. With the piston on bottom center, the top of the piston measures 4.0 inches from the bottom of the cylinder. What is the approximate piston displacement of this engine?","A four-cylinder aircraft engine has a cylinder bore of 3.78 inches and is 8.5 inches deep. With the piston on bottom center, the top of the piston measures 4.0 inches from the bottom of the cylinder. What is the approximate piston displacement of this engine?",200 cubic inches.,360 cubic inches.,235 cubic inches.,A
"A rectangular-shaped fuel tank measures 37-1/2 inches in length, 14 inches in width, and 8-1/4 inches in depth. How many cubic inches are within the tank?","A rectangular-shaped fuel tank measures 37-1/2 inches in length, 14 inches in width, and 8-1/4 inches in depth. How many cubic inches are within the tank?",59.75,433.125,"4,331.25",C
"A six-cylinder engine with a bore of 3.5 inches, a cylinder height of 7 inches and a stroke of 4.5 inches will have a total piston displacement of","A six-cylinder engine with a bore of 3.5 inches, a cylinder height of 7 inches and a stroke of 4.5 inches will have a total piston displacement of",256.88 cubic inches.,259.77 cubic inches.,43.3 cubic inches.,B
Select the fraction which is equal to 0.0250.,Select the fraction which is equal to 0.0250.,1/4,1/40,1/400,B
1.21875 is equal to,1.21875 is equal to,83/64,19/16,39/32,C
"If the volume of a cylinder with the piston at bottom center is 84 cubic inches and the piston displacement is 70 cubic inches, then the compression ratio is","When the volume of a cylinder with the piston at bottom center is 84 cubic inches and the piston displacement is 70 cubic inches, then the compression ratio is",7:1.,1.2:1.,6:1.,C
Express 7/8 as a percent.,Express 7/8 as a percent.,8.75 percent.,.875 percent.,87.5 percent.,C
What is the speed of a spur gear with 42 teeth driven by a pinion gear with 14 teeth turning 420 RPM?,What is the speed of a spur gear with 42 teeth driven by a pinion gear with 14 teeth turning 420 RPM?,588 RPM.,160 RPM.,140 RPM.,C
An engine develops 108 horsepower at 87 percent power. What horsepower would be developed at 65 percent power?,An engine develops 108 horsepower at 87 percent power. What horsepower would be developed at 65 percent power?,81,70,61,A
